mu,se,unique_well
0.62335520321862,0.07444103778962032,1_C2_12
0.7423448301850415,0.09192985701961662,1_D2_12
0.7637522403845993,0.10633641375780409,1_E2_12
0.5389159052623371,0.06779851503398127,1_F2_12
0.5175228345988324,0.06864129183330722,1_G2_12
0.8769760413115139,0.09600060783804074,1_C2_14
0.9824978674447922,0.12505628048005632,1_D2_14
1.0049700646006092,0.12072405821199687,1_E2_14
0.6017991575478236,0.09696183462681936,1_F2_14
0.6659371442865594,0.0704064638813789,1_G2_14
1.440989247833294,0.15085396022920985,1_C2_20
1.8807643160168075,0.14734049135009977,1_D2_20
1.9462288586131788,0.1640821349644872,1_E2_20
1.3553898027306626,0.12342714113408261,1_F2_20
1.3097916145730235,0.1242256851699468,1_G2_20
2.1603277839930617,0.1666080947196239,1_C2_25
2.1333188638108598,0.16178814619050633,1_D2_25
2.228142596537754,0.11033871141711768,1_E2_25
2.036228169057201,0.18673567050318907,1_F2_25
2.0500576362218417,0.21150272783192797,1_G2_25
2.44218111247037,0.10203951434915351,1_C2_30
2.3901747175553396,0.12234737152696469,1_D2_30
2.451051451329248,0.1276698429227841,1_E2_30
2.3932164922999224,0.13010200581675482,1_F2_30
2.251749190805973,0.13951644630040758,1_G2_30
2.6067986848167877,0.11638105537411651,1_C2_36
3.086491437853391,0.1626651323535197,1_D2_36
2.944126103449837,0.14802763464142007,1_E2_36
2.2932252945787472,0.08867775522786991,1_F2_36
2.711343038738092,0.13167881646358054,1_G2_36
1.6486972520661314,0.10881923296929291,1_C2_38
1.6719385064584869,0.1326456785407225,1_D2_38
2.0288432569942367,0.13364466080156664,1_E2_38
1.5373276323412464,0.12251045444652427,1_F2_38
1.5962538645832973,0.14214590943948113,1_G2_38
0.5204826964863966,0.06110775357193584,2_C2_12
0.6936347809817212,0.0934716018308854,2_D2_12
0.7271547808689292,0.12646109034900402,2_E2_12
0.5905061635202763,0.06349068838988385,2_F2_12
0.5460269780333795,0.07527318834302668,2_G2_12
0.7087487834956732,0.0698569948056252,2_C2_14
0.9781158651573655,0.09940145635157713,2_D2_14
0.996001190506426,0.10929806592380603,2_E2_14
0.7585733536031378,0.09174786919399563,2_F2_14
0.8040136171329713,0.1045188743398183,2_G2_14
1.3425971715313,0.11806938209753617,2_C2_20
1.734441385533339,0.13838389730704798,2_D2_20
1.8466603872399996,0.1989039163934927,2_E2_20
1.2870456574121123,0.11395867543968342,2_F2_20
1.3300087123296853,0.12563735913676732,2_G2_20
2.2546412029891605,0.19726580756294312,2_C2_25
2.493349557251973,0.16919204580234395,2_D2_25
2.374043873497325,0.20541696567877113,2_E2_25
2.098958626137877,0.16247808486829224,2_F2_25
2.082990960337399,0.15726579419353828,2_G2_25
2.4520102606524987,0.1318965318975857,2_C2_30
2.5213826909185904,0.13832536446416585,2_D2_30
2.4839816452011654,0.1354067834107732,2_E2_30
2.2776287353375984,0.10149238977208933,2_F2_30
2.485910167010481,0.1128649252371343,2_G2_30
2.491912303550382,0.07580732447614182,2_C2_36
2.5438235945349508,0.09274226782432006,2_D2_36
3.0519825044579645,0.1524012399149843,2_E2_36
2.5400993341245917,0.07781699542191638,2_F2_36
2.713413674054527,0.07482978922034496,2_G2_36
2.3545636690962786,0.3623957820596395,2_C2_38
1.8899782536463339,0.22341767525723513,2_D2_38
2.3832082977129936,0.330612814902454,2_E2_38
2.058695256986297,0.2433351804864976,2_F2_38
1.7694059926492876,0.09812594719685565,2_G2_38
0.5487816946530896,0.06033448437742614,1_C3_12
