treatment,temp,predicted_growth,topt,rmax,tmax
14C_1,0,0.22666685190854613,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,0.1,0.22942073523659295,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,0.2,0.2322019859312004,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,0.30000000000000004,0.23501082543125382,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,0.4,0.23784747636163803,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,0.5,0.24071216252974423,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,0.6000000000000001,0.2436051089217387,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,0.7000000000000001,0.2465265416985857,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,0.8,0.24947668819182317,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,0.9,0.2524557768990821,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,1,0.25546403747934854,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,1.1,0.25850170074795853,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,1.2000000000000002,0.26156899867132505,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,1.3,0.26466616436138796,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,1.4000000000000001,0.26779343206978357,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,1.5,0.27095103718172736,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,1.6,0.2741392162096041,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,1.7000000000000002,0.2773582067862598,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,1.8,0.28060824765799003,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,1.9000000000000001,0.2838895786772176,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,2,0.28720244079485385,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,2.1,0.2905470760523389,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,2.2,0.29392372757335156,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,2.3000000000000003,0.2973326395551856,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,2.4000000000000004,0.3007740572597839,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,2.5,0.3042482270044246,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,2.6,0.3077553961520531,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,2.7,0.3112958131012515,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,2.8000000000000003,0.3148697272758407,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,2.9000000000000004,0.3184773891141069,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,3,0.3221190500576447,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,3.1,0.325794962539812,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,3.2,0.32950537997378654,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,3.3000000000000003,0.3332505567402186,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,3.4000000000000004,0.33703074817447154,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,3.5,0.34084621055344283,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,3.6,0.3446972010819569,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,3.7,0.3485839778787233,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,3.8000000000000003,0.35250679996185097,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,3.9000000000000004,0.35646592723391085,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,4,0.3604616204665389,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,4.1000000000000005,0.36449414128457036,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,4.2,0.368563752149697,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,4.3,0.3726707163436396,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,4.4,0.3768152979508251,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,4.5,0.38099776184056094,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,4.6000000000000005,0.3852183736486965,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,4.7,0.3894773997587637,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,4.800000000000001,0.3937751072825858,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,4.9,0.3981117640403459,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,5,0.40248763854010533,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,5.1000000000000005,0.4069029999567624,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,5.2,0.4113581181104404,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,5.300000000000001,0.41585326344429624,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,5.4,0.4203887070017387,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,5.5,0.4249647204030458,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,5.6000000000000005,0.4295815758213714,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,5.7,0.43423954595812875,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,5.800000000000001,0.43893890401774277,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,5.9,0.4436799236817569,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,6,0.448462879082286,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,6.1000000000000005,0.4532880447748018,33.0786345933082,3.120044387595405,41.573589668055334
14C_1,6.2,0.458155695710241,33.0786345933082,3.120044387595405,41.573589668055334
